side,level,entry_idx,entry_date,entry_price,exit_idx,exit_date,exit_price,qty,pnl,pnl_pct,exit_reason,sl_price,tp_price
BUY,313.02,1276,2025-02-19 00:00:00,315.91,1282,2025-02-27 00:00:00,307.26,140.85,-1262.25,-2.74,SL,307.26,333.2
BUY,306.68,1283,2025-02-28 00:00:00,309.63,1286,2025-03-03 00:00:00,301.18,141.2,-1236.24,-2.73,SL,301.18,326.54
BUY,314.29,1287,2025-03-04 00:00:00,316.4,1297,2025-03-16 00:00:00,323.44,182.56,1226.83,2.23,TIMEOUT,310.0,329.21
BUY,323.16,1298,2025-03-17 00:00:00,326.02,1303,2025-03-24 00:00:00,320.02,198.82,-1257.16,-1.84,SL,320.02,338.01
BUY,318.09,1304,2025-03-25 00:00:00,319.8,1306,2025-03-27 00:00:00,314.71,229.43,-1240.58,-1.59,SL,314.71,329.97
SELL,310.49,1307,2025-03-28 00:00:00,308.04,1313,2025-04-03 00:00:00,297.4,214.85,2220.92,3.45,TP,313.36,297.4
SELL,288.94,1314,2025-04-04 00:00:00,285.35,1317,2025-04-07 00:00:00,293.4,147.5,-1230.08,-2.82,SL,293.4,269.25
SELL,285.14,1318,2025-04-08 00:00:00,282.03,1319,2025-04-09 00:00:00,291.75,119.63,-1197.12,-3.45,SL,291.75,262.58
SELL,296.55,1320,2025-04-10 00:00:00,292.21,1326,2025-04-16 00:00:00,302.81,107.44,-1170.82,-3.63,SL,302.81,271.01
BUY,301.61,1327,2025-04-17 00:00:00,304.8,1337,2025-04-29 00:00:00,309.41,125.75,541.11,1.51,TIMEOUT,295.93,322.54
SELL,310.49,1338,2025-04-30 00:00:00,307.8,1342,2025-05-05 00:00:00,295.07,177.08,2200.91,4.14,TP,314.16,295.07
BUY,299.08,1343,2025-05-06 00:00:00,302.02,1353,2025-05-17 00:00:00,308.89,177.58,1165.76,2.27,TIMEOUT,295.43,315.21
BUY,309.22,1354,2025-05-18 00:00:00,311.15,1356,2025-05-20 00:00:00,304.89,190.67,-1252.32,-2.01,SL,304.89,323.67
SELL,306.68,1357,2025-05-21 00:00:00,303.98,1363,2025-05-29 00:00:00,309.51,211.31,-1233.36,-1.82,SL,309.51,292.92
BUY,306.68,1364,2025-05-30 00:00:00,309.3,1366,2025-06-01 00:00:00,303.17,186.6,-1201.02,-1.98,SL,303.17,321.56
BUY,306.68,1367,2025-06-02 00:00:00,309.63,1371,2025-06-06 00:00:00,321.42,190.13,2181.63,3.81,TP,303.74,321.42
BUY,311.75,1372,2025-06-07 00:00:00,314.65,1375,2025-06-10 00:00:00,308.25,181.8,-1220.11,-2.03,SL,308.25,327.45
BUY,309.22,1376,2025-06-11 00:00:00,312.0,1386,2025-06-24 00:00:00,311.37,199.14,-187.53,-0.2,TIMEOUT,306.28,323.45
BUY,311.75,1387,2025-06-25 00:00:00,313.78,1397,2025-07-05 00:00:00,319.55,294.13,1603.98,1.84,TIMEOUT,309.92,321.51
SELL,315.56,1399,2025-07-07 00:00:00,313.5,1401,2025-07-09 00:00:00,308.15,435.6,2195.08,1.71,TP,316.18,308.15
BUY,313.02,1402,2025-07-10 00:00:00,314.01,1403,2025-07-11 00:00:00,310.78,375.02,-1328.47,-1.03,SL,310.78,320.46
BUY,315.56,1406,2025-07-14 00:00:00,317.97,1409,2025-07-17 00:00:00,327.02,261.53,2282.54,2.85,TP,313.44,327.02
SELL,311.75,1410,2025-07-18 00:00:00,309.0,1420,2025-07-28 00:00:00,303.97,187.28,884.6,1.63,TIMEOUT,315.57,295.87
BUY,302.88,1421,2025-07-29 00:00:00,305.26,1429,2025-08-08 00:00:00,316.61,220.12,2429.94,3.72,TP,299.59,316.61
SELL,319.36,1430,2025-08-11 00:00:00,317.82,1440,2025-08-21 00:00:00,309.98,277.07,2085.26,2.47,TIMEOUT,322.5,308.46
BUY,310.49,1441,2025-08-22 00:00:00,312.05,1451,2025-09-01 00:00:00,309.2,298.08,-942.13,-0.91,TIMEOUT,307.56,321.04
BUY,307.95,1453,2025-09-03 00:00:00,309.49,1461,2025-09-11 00:00:00,306.72,476.37,-1466.33,-0.9,SL,306.72,315.04
SELL,305.42,1462,2025-09-12 00:00:00,303.5,1469,2025-09-19 00:00:00,297.77,449.56,2440.81,1.89,TP,306.37,297.77
BUY,296.55,1470,2025-09-22 00:00:00,298.05,1471,2025-09-23 00:00:00,293.74,310.68,-1430.97,-1.45,SL,293.74,306.67
BUY,291.48,1472,2025-09-24 00:00:00,293.31,1477,2025-09-29 00:00:00,287.99,246.32,-1382.02,-1.81,SL,287.99,303.95
BUY,286.41,1478,2025-09-30 00:00:00,288.36,1481,2025-10-03 00:00:00,282.75,228.66,-1348.08,-1.95,SL,282.75,299.58
SELL,282.61,1482,2025-10-04 00:00:00,280.4,1484,2025-10-06 00:00:00,285.93,227.09,-1320.13,-1.97,SL,285.93,269.34
BUY,291.48,1485,2025-10-07 00:00:00,293.89,1486,2025-10-08 00:00:00,288.83,242.97,-1300.21,-1.72,SL,288.83,304.01
BUY,286.41,1487,2025-10-09 00:00:00,289.37,1497,2026-01-16 00:00:00,301.64,196.0,2346.95,4.24,TP,283.23,301.64
BUY,300.35,1499,2026-01-18 00:00:00,301.86,1509,2026-01-28 00:00:00,303.58,253.62,359.45,0.57,TIMEOUT,296.93,311.72
BUY,306.68,1510,2026-01-29 00:00:00,308.52,1511,2026-01-30 00:00:00,305.67,441.24,-1393.05,-0.92,SL,305.67,314.21
BUY,305.42,1513,2026-02-01 00:00:00,306.38,1514,2026-02-02 00:00:00,303.37,408.53,-1354.23,-0.98,SL,303.37,312.41
SELL,302.88,1517,2026-02-05 00:00:00,301.45,1522,2026-02-10 00:00:00,304.45,400.87,-1324.04,-1.0,SL,304.45,295.45
BUY,304.15,1523,2026-02-11 00:00:00,305.76,1526,2026-02-16 00:00:00,311.65,400.04,2232.74,1.93,TP,302.82,311.65
SELL,311.75,1527,2026-02-17 00:00:00,310.77,1528,2026-02-18 00:00:00,313.64,425.36,-1353.57,-0.92,SL,313.64,305.02
BUY,313.02,1530,2026-02-20 00:00:00,314.0,1540,2026-03-02 00:00:00,313.58,414.48,-304.14,-0.13,TIMEOUT,311.12,319.75
SELL,313.02,1541,2026-03-03 00:00:00,311.83,1543,2026-03-05 00:00:00,314.33,475.05,-1336.35,-0.8,SL,314.33,306.84
BUY,314.29,1545,2026-03-09 00:00:00,316.3,1554,2026-03-18 00:00:00,321.93,413.13,2194.08,1.78,TP,313.49,321.93
SELL,318.09,1557,2026-03-23 00:00:00,316.87,1567,2026-04-02 00:00:00,316.27,377.67,107.04,0.19,TIMEOUT,320.06,310.49
SELL,315.56,1568,2026-04-03 00:00:00,314.65,1571,2026-04-06 00:00:00,317.32,452.03,-1349.75,-0.85,SL,317.32,309.32
SELL,319.36,1572,2026-04-07 00:00:00,317.87,1573,2026-04-08 00:00:00,320.34,477.7,-1332.35,-0.78,SL,320.34,312.94
SELL,319.36,1574,2026-04-09 00:00:00,317.51,1580,2026-04-15 00:00:00,320.21,427.14,-1289.47,-0.85,SL,320.21,312.12
BUY,320.62,1581,2026-04-16 00:00:00,322.16,1588,2026-04-23 00:00:00,327.96,388.79,2128.59,1.8,TP,319.26,327.96
SELL,326.96,1589,2026-04-24 00:00:00,325.19,1593,2026-04-28 00:00:00,319.47,409.11,2208.24,1.76,TP,328.05,319.47
BUY,319.36,1596,2026-05-01 00:00:00,320.35,1605,2026-05-12 00:00:00,325.94,435.2,2292.16,1.74,TP,317.56,325.94
SELL,326.96,1606,2026-05-13 00:00:00,325.75,1616,2026-05-23 00:00:00,322.72,401.29,1085.81,0.93,TIMEOUT,328.89,319.47
BUY,321.89,1618,2026-05-25 00:00:00,323.06,1618,2026-05-25 00:00:00,323.06,494.89,0.0,0.0,END_OF_DATA,320.47,328.24
