side,level,entry_idx,entry_date,entry_price,exit_idx,exit_date,exit_price,qty,pnl,pnl_pct,exit_reason,sl_price,tp_price
BUY,204.03,206,2020-10-29 00:00:00,205.58,207,2020-10-30 00:00:00,201.15,161.11,-746.5,-2.15,SL,201.15,214.44
BUY,202.77,208,2020-11-02 00:00:00,204.5,210,2020-11-05 00:00:00,214.3,142.61,1367.74,4.79,TP,199.6,214.3
BUY,215.44,211,2020-11-06 00:00:00,217.5,212,2020-11-09 00:00:00,228.62,130.6,1423.18,5.11,TP,211.94,228.62
BUY,233.18,213,2020-11-10 00:00:00,236.1,218,2020-11-17 00:00:00,249.37,113.82,1482.75,5.62,TP,229.47,249.37
SELL,243.32,220,2020-11-19 00:00:00,240.27,223,2020-11-24 00:00:00,247.73,105.13,-809.93,-3.1,SL,247.73,225.35
BUY,249.66,224,2020-11-25 00:00:00,251.91,231,2020-12-04 00:00:00,265.88,110.04,1508.76,5.55,TP,244.93,265.88
SELL,276.27,241,2020-12-18 00:00:00,270.16,251,2021-01-05 00:00:00,275.2,112.27,-596.46,-1.87,TIMEOUT,277.27,255.93
SELL,275.0,252,2021-01-06 00:00:00,272.93,253,2021-01-08 00:00:00,279.58,118.24,-818.99,-2.44,SL,279.58,259.63
SELL,283.87,258,2021-01-15 00:00:00,276.9,264,2021-01-25 00:00:00,262.59,107.68,1511.91,5.17,TP,284.05,262.59
BUY,264.86,265,2021-01-26 00:00:00,269.34,268,2021-01-29 00:00:00,260.68,92.4,-824.67,-3.22,SL,260.68,286.67
BUY,261.06,269,2021-02-01 00:00:00,263.8,279,2021-02-15 00:00:00,271.81,97.59,755.6,3.04,TIMEOUT,255.77,279.86
SELL,269.93,282,2021-02-18 00:00:00,266.99,285,2021-02-22 00:00:00,273.01,132.69,-834.63,-2.25,SL,273.01,254.95
SELL,273.73,286,2021-02-24 00:00:00,271.9,290,2021-03-02 00:00:00,277.56,138.18,-820.07,-2.08,SL,277.56,260.58
SELL,280.07,291,2021-03-03 00:00:00,278.01,294,2021-03-09 00:00:00,284.06,126.56,-801.27,-2.18,SL,284.06,265.91
SELL,286.41,295,2021-03-10 00:00:00,282.24,298,2021-03-15 00:00:00,288.62,117.5,-783.22,-2.26,SL,288.62,269.48
SELL,286.41,300,2021-03-17 00:00:00,283.35,303,2021-03-22 00:00:00,290.29,105.77,-764.35,-2.45,SL,290.29,269.46
SELL,285.14,304,2021-03-23 00:00:00,282.6,307,2021-03-26 00:00:00,289.95,97.79,-746.72,-2.6,SL,289.95,267.91
SELL,292.74,311,2021-04-01 00:00:00,290.24,321,2021-04-15 00:00:00,283.72,107.12,667.7,2.25,TIMEOUT,296.81,277.11
BUY,286.41,322,2021-04-16 00:00:00,288.5,329,2021-04-27 00:00:00,299.27,133.3,1396.45,3.73,TP,283.12,299.27
SELL,301.61,344,2021-05-19 00:00:00,297.0,347,2021-05-24 00:00:00,303.95,107.21,-777.29,-2.34,SL,303.95,283.1
BUY,304.15,348,2021-05-25 00:00:00,306.8,358,2021-06-08 00:00:00,314.83,99.53,768.26,2.62,TIMEOUT,299.47,321.47
SELL,315.56,361,2021-06-11 00:00:00,313.0,371,2021-06-25 00:00:00,311.81,157.82,138.5,0.38,TIMEOUT,317.72,303.56
SELL,311.75,372,2021-06-28 00:00:00,309.48,378,2021-07-06 00:00:00,302.56,216.09,1429.2,2.24,TP,312.94,302.56
BUY,302.88,379,2021-07-07 00:00:00,304.06,385,2021-07-15 00:00:00,300.4,212.09,-840.35,-1.2,SL,300.4,311.38
SELL,300.35,386,2021-07-16 00:00:00,298.85,387,2021-07-19 00:00:00,290.77,187.98,1463.47,2.7,TP,302.89,290.77
BUY,292.74,388,2021-07-20 00:00:00,296.1,395,2021-07-29 00:00:00,304.87,180.07,1525.12,2.96,TP,291.72,304.87
BUY,302.88,396,2021-07-30 00:00:00,305.59,400,2021-08-05 00:00:00,315.74,161.58,1589.85,3.32,TP,300.52,315.74
BUY,315.56,401,2021-08-06 00:00:00,319.15,402,2021-08-09 00:00:00,328.21,187.86,1641.22,2.84,TP,314.62,328.21
BUY,330.76,408,2021-08-17 00:00:00,334.5,410,2021-08-19 00:00:00,329.94,193.82,-948.23,-1.36,SL,329.94,343.61
SELL,330.76,411,2021-08-20 00:00:00,325.67,413,2021-08-24 00:00:00,330.85,166.96,-919.68,-1.59,SL,330.85,315.32
BUY,325.69,416,2021-08-27 00:00:00,327.41,426,2021-09-10 00:00:00,326.25,163.73,-243.44,-0.35,TIMEOUT,322.24,337.75
BUY,325.69,427,2021-09-13 00:00:00,327.41,433,2021-09-21 00:00:00,322.42,168.66,-896.41,-1.52,SL,322.42,337.39
BUY,325.69,434,2021-09-22 00:00:00,327.8,440,2021-09-30 00:00:00,339.43,141.77,1601.48,3.55,TP,321.99,339.43
SELL,370.05,460,2021-10-28 00:00:00,365.36,470,2021-11-12 00:00:00,346.26,89.6,1679.54,5.23,TP,374.91,346.26
SELL,330.76,475,2021-11-19 00:00:00,327.56,477,2021-11-23 00:00:00,306.66,85.1,1751.62,6.38,TP,338.01,306.66
SELL,325.69,478,2021-11-24 00:00:00,321.22,488,2021-12-08 00:00:00,295.66,72.33,1826.36,7.96,TP,334.0,295.66
BUY,295.28,489,2021-12-09 00:00:00,300.4,491,2021-12-13 00:00:00,285.31,63.68,-979.51,-5.02,SL,285.31,330.58
BUY,280.07,492,2021-12-14 00:00:00,284.9,502,2022-01-05 00:00:00,287.01,63.9,116.56,0.74,TIMEOUT,270.17,314.36
BUY,290.21,503,2022-01-06 00:00:00,293.92,507,2022-01-13 00:00:00,282.16,80.24,-966.71,-4.0,SL,282.16,317.43
SELL,264.86,508,2022-01-14 00:00:00,261.0,510,2022-01-18 00:00:00,238.0,80.37,1828.48,8.81,TP,272.5,238.0
BUY,239.52,511,2022-01-19 00:00:00,244.86,514,2022-01-24 00:00:00,229.42,62.23,-975.59,-6.31,SL,229.42,275.75
BUY,233.18,515,2022-01-25 00:00:00,239.59,525,2022-02-08 00:00:00,269.8,52.15,1562.2,12.61,TIMEOUT,221.54,275.69
BUY,275.0,526,2022-02-09 00:00:00,279.09,528,2022-02-11 00:00:00,265.86,73.51,-992.6,-4.74,SL,265.86,305.54
SELL,261.06,529,2022-02-14 00:00:00,256.7,530,2022-02-15 00:00:00,269.29,75.67,-972.62,-4.9,SL,269.29,231.52
BUY,273.73,531,2022-02-16 00:00:00,277.78,532,2022-02-17 00:00:00,266.22,80.73,-955.22,-4.16,SL,266.22,300.89
SELL,254.73,533,2022-02-18 00:00:00,250.28,534,2022-02-21 00:00:00,224.5,70.92,1811.49,10.3,TP,263.17,224.5
BUY,202.77,535,2022-02-22 00:00:00,208.53,536,2022-02-24 00:00:00,189.43,49.76,-960.29,-9.16,SL,189.43,246.73
SELL,138.13,553,2022-04-14 00:00:00,129.05,563,2022-04-28 00:00:00,123.85,82.85,420.32,4.03,TIMEOUT,140.29,106.58
BUY,125.46,564,2022-04-29 00:00:00,128.8,569,2022-05-12 00:00:00,120.64,115.15,-953.95,-6.34,SL,120.64,145.12
BUY,125.46,572,2022-05-17 00:00:00,127.75,575,2022-05-20 00:00:00,121.18,140.11,-937.95,-5.14,SL,121.18,140.88
SELL,121.66,576,2022-05-23 00:00:00,119.46,577,2022-05-24 00:00:00,124.82,168.24,-922.3,-4.49,SL,124.82,108.74
SELL,125.46,579,2022-05-26 00:00:00,123.0,589,2022-06-09 00:00:00,118.2,192.44,900.51,3.9,TIMEOUT,127.59,113.82
BUY,117.86,591,2022-06-14 00:00:00,118.98,595,2022-06-20 00:00:00,125.54,274.79,1769.04,5.51,TP,115.7,125.54
SELL,130.53,596,2022-06-21 00:00:00,129.1,597,2022-06-22 00:00:00,132.75,256.63,-970.3,-2.83,SL,132.75,121.79
BUY,133.07,598,2022-06-23 00:00:00,136.85,602,2022-06-29 00:00:00,132.88,231.06,-948.45,-2.9,SL,132.88,144.8
SELL,129.26,603,2022-06-30 00:00:00,125.2,604,2022-07-01 00:00:00,130.47,170.46,-920.11,-4.21,SL,130.47,114.67
BUY,129.26,605,2022-07-04 00:00:00,131.43,611,2022-07-12 00:00:00,125.5,148.38,-898.98,-4.51,SL,125.5,143.28
SELL,129.26,612,2022-07-13 00:00:00,126.0,620,2022-07-25 00:00:00,131.67,152.02,-881.53,-4.5,SL,131.67,114.66
BUY,130.53,621,2022-07-26 00:00:00,132.9,625,2022-08-01 00:00:00,128.82,206.94,-871.39,-3.07,SL,128.82,141.07
SELL,128.0,627,2022-08-03 00:00:00,126.85,637,2022-08-17 00:00:00,124.5,236.93,527.01,1.85,TIMEOUT,130.34,119.88
BUY,124.19,638,2022-08-18 00:00:00,126.3,647,2022-08-31 00:00:00,132.83,256.09,1639.1,5.17,TP,123.03,132.83
BUY,135.6,648,2022-09-01 00:00:00,138.2,650,2022-09-05 00:00:00,144.93,258.99,1706.34,4.87,TP,134.84,144.93
SELL,140.67,651,2022-09-06 00:00:00,137.23,661,2022-09-20 00:00:00,128.67,211.29,1780.57,6.24,TP,141.51,128.67
SELL,122.93,662,2022-09-21 00:00:00,120.23,663,2022-09-22 00:00:00,126.22,156.92,-959.28,-4.98,SL,126.22,108.25
SELL,121.66,664,2022-09-23 00:00:00,119.39,665,2022-09-26 00:00:00,107.53,155.27,1823.9,9.93,TP,125.32,107.53
SELL,115.32,671,2022-10-04 00:00:00,110.55,681,2022-10-18 00:00:00,110.88,124.64,-54.93,-0.3,TIMEOUT,118.23,95.18
BUY,110.25,682,2022-10-19 00:00:00,112.39,686,2022-10-25 00:00:00,122.58,187.85,1892.08,9.07,TP,107.3,122.58
BUY,122.93,687,2022-10-26 00:00:00,124.43,697,2022-11-10 00:00:00,134.36,200.4,1964.03,7.98,TP,119.47,134.36
BUY,135.6,698,2022-11-11 00:00:00,136.98,700,2022-11-15 00:00:00,132.67,239.74,-1065.58,-3.15,SL,132.67,145.61
BUY,136.87,701,2022-11-16 00:00:00,139.18,704,2022-11-21 00:00:00,134.63,222.41,-1042.4,-3.27,SL,134.63,148.29
BUY,134.33,706,2022-11-23 00:00:00,136.59,716,2022-12-07 00:00:00,142.32,218.3,1220.44,4.2,TIMEOUT,132.05,145.68
SELL,141.94,717,2022-12-08 00:00:00,139.92,724,2022-12-19 00:00:00,134.07,347.78,1986.85,4.18,TP,142.84,134.07
BUY,136.87,725,2022-12-20 00:00:00,138.28,735,2023-01-04 00:00:00,141.43,343.73,1034.67,2.28,TIMEOUT,135.21,144.42
BUY,140.67,737,2023-01-06 00:00:00,141.4,740,2023-01-11 00:00:00,145.87,482.48,2087.4,3.16,TP,139.17,145.87
BUY,149.54,747,2023-01-20 00:00:00,151.38,754,2023-01-31 00:00:00,157.26,380.17,2176.71,3.88,TP,148.44,157.26
SELL,166.01,763,2023-02-13 00:00:00,164.32,765,2023-02-15 00:00:00,157.25,328.96,2272.84,4.3,TP,167.85,157.25
BUY,155.88,766,2023-02-16 00:00:00,158.22,772,2023-02-27 00:00:00,166.34,297.21,2365.12,5.13,TP,154.16,166.34
SELL,169.82,775,2023-03-02 00:00:00,168.05,777,2023-03-06 00:00:00,171.91,324.87,-1309.2,-2.3,SL,171.91,160.34
BUY,171.08,778,2023-03-07 00:00:00,174.01,781,2023-03-13 00:00:00,170.08,312.42,-1281.55,-2.26,SL,170.08,181.86
